902186db8d4673770ea86267e08091fd46283f2d,2023-08-22,Releases/0.4.1.1 (#486)
b39cbceedba0c724eb99a9529240a65aff513fa1,2023-08-22,Releases/0.4.0.3 (#484)
ec35a0c4af1c9af7158cf1f110b55f232738e2cf,2023-08-22,Releases/0.4.0.1 (#483)
c47cd02abbab31251dbfae297cdc90a3efd3d296,2023-08-22,Post clean assets (#482)
b58863f13354fb055663f09b21e110017ddc22ae,2023-08-22,automatically download asset
3789e7bbec068f099ad1e7a2620eba491783f3db,2023-08-22,setup.py download assets automatically
d24cc8803fb5e6e016881b054f009248a4ea62de,2023-08-22,fix bug
a53e3263dcd30c07961f6e1472ba0aeaef0045b1,2023-08-22,update depth camera
9d3fdcb5024f595c8c3fe525a5dcbcecad9cc03f,2023-08-22,ignore assets dir
52292871898814198060d187ce8f4db6683d2de3,2023-08-21,Refactor sensor api/camera creation/render mode (#481)
998dcbd5fbd4fe73c0fef8c39699e9be405464f1,2023-08-14,Fix coverage ret for ScenarioEnv (#480)
c40c965968f347d7483ce200f8086bcd457ab18c,2023-07-31,Upgrade Gym to Gymnasium Wrapper (#458)
39f8126addd3b933b043a7dea5f38b6d1c2ac7dd,2023-07-18,fix bug caused by def render func (#472)
03cc7c5e7669d0a363c30152dbc80c034572f89e,2023-07-17,fix a rendering bug for top_down mode in multi-agent envs (#468)
18b435d6771858c4c4d7c3175de04de55507096b,2023-07-03,fix type error (#464)
2c3924227010638df34a1cf14f125b446609f2c2,2023-06-27,fix example  (#462)
2e376df1dd22730fa061c33630168106ba2b5661,2023-06-23,update gym wrapper (#459)
c418e34c1cc625bb17f74c1b19a372c3903240fc,2023-06-20,Make video (#457)
39c959f84f7b6d146a30f555368510641d29954b,2023-06-19,Move from Gym 0.22 to Gymnasium 0.28 (#445)
9d7ed923874987f529daa3847560fe935071afda,2023-06-10,Neurips Update (#452)
4eab2a76555ba452ed93b11518f66188a4792595,2023-05-13,Fix bug for generating dataset (#439)
111921929ed47c617af88b8a6549f51512f03039,2023-05-08,Migrate scenario tools (#438)
4d2acf3f3d672a336f892d603a3a0efea18d6bd1,2023-05-05,Keep upgrading renderring (#437)
3a0a9b8ac8e2241521b0f54cdde943086780fc7e,2023-04-30,Render pipeline (#435)
cdde8b7d76b1d090b19327b878b41c95485ca493,2023-04-24,fix warmup bug (#431)
e814509a00ec4edba61ca372c264798c1d3b6f3c,2023-04-23,Convert nuplan (#429)
a6dc4bed428846a9363e38feaf1a63168059f1a3,2023-04-22,IDM policy support for ScenarioEnv (#427)
0f3599f6b581166ea5b996835149a33578b779f1,2023-04-21,NuScenes scenario can be converted to SD and loaded now (#424)
5fec0da9836c1182a06a71e3c8dd225bd35b7f7e,2023-04-16,fix camera bug (#422)
8facfe49c7f2690035cabda7a7f33745c5b66ffa,2023-04-15,Unify all coordinates to right-handed/remove vehicle 90 degree offset (#420)
b4187206b6de6b4fb6efdf120153e8433af5d626,2023-04-10,Improve the converter from waymo data to MD SD (#419)
a0f91b1e521537a5d299f89be565a8a1cfa98733,2023-04-09,Use polygon to build metaDrivelane  (#418)
84fb3d204df03d3fbe376088f01dc28668deaee8,2023-04-08,Greatly improve the Scenario Description for Waymo dataset: introducing a lot of summaries of a scenario in metadata (#417)
32d3c180488d466655984eaca7242a0bb6145f32,2023-04-07,Supporting NuPlan env to export MetaDrive Scenario Description (#414)
8db3d62c19fc229fbf67b172964a6182df612657,2023-04-07,Scenario light (#413)
2564d33e4bb745117220539fa43fa7dda54c50d9,2023-04-05,Scenario stores throttle_brake/steering only when necessary; split object size to width, length, height; fix traffic light in Waymo converter (#411)
a822c65b47ffcf992f0a8ae79e022c3ce3645baa,2023-04-05,Introducing a general ScenarioEnv that replays logged scenario from Scenario Description (#406)
3c8a8cf1f7f3bb2269d9fd04c9313921a656598b,2023-04-03,Merge bodyname into MetaDriveType (#404)
04e878eb58cc056c72130585dce307efa6eff285,2023-04-03,Formalize all line/lane/boundary type strings, remove redundancy to avoid ambiguity (#403)
3722b9b8ea6821b72287ccc56869236e7d3c1691,2023-04-01,Remove created_time in the metadata of MetaDrive Scenario Description (#400)
ca9d79e19b1be9f0b808c62fd4948a3690e28acb,2023-04-01,Fix the local coordination but in Waymo env (#399)
970d2ce2b093c063e0eb6fb95757963beafa22ad,2023-03-31,Rename num_scenario, environment_num to num_scenarios (#397)
dc347b4a5c6963796ce90e7b0d23a5097cb72f4e,2023-03-31,Record speed limit in kmh and precisely replay it (#396)
12287486db1e742797fcb5e483e9b7416546c7b6,2023-03-30,Introducing a VaryingDynamicsEnv to randomize the vehicle dynamics for generalization exp (#395)
b8a935f29ce27dd0e5152d67402c5a3f54ac3a6e,2023-03-30,Continue to improve scenario replay reliability: more strict unit tests and fix bugs relate to them (#389)
8a72e187506745d5823223b372b562a60bfd346a,2023-03-29,Allow switching coordinate system according to metadata in SD. Fix consistency bug. (#388)
d11ea4870ac1e9dfa85cd3d097f43351756969b1,2023-03-28,Introducing the MetaDrive Scenario Description: A unified scenario representation (#383)
bb6e52d7e0c6f458683a8b53e673fcaeba24055c,2023-03-27,Create a metadrive.scenario folder, formalize MetaDrive type and Waymo type (#382)
03799a22191b2be5977c62f1953c310c97ae957a,2023-03-27,Formalize the dataformat of dynamic_map_states (#381)
